none, A_None, A_None, 0.99999808212
none, A_None, Clinton, 1.91785961242e-06
none, A_None, Trump, 2.00799317631e-11
none, Clinton, A_None, 0.235966330416
none, Clinton, Clinton, 0.761211495485
none, Clinton, Trump, 0.00282217409907
none, Trump, A_None, 0.291134399726
none, Trump, Clinton, 0.00807470244901
none, Trump, Trump, 0.700790897825
partialuser, A_None, A_None, 0.995294454405
partialuser, A_None, Clinton, 0.00470548975132
partialuser, A_None, Trump, 5.58438267758e-08
partialuser, Clinton, A_None, 0.220353701668
partialuser, Clinton, Clinton, 0.770158321642
partialuser, Clinton, Trump, 0.00948797668992
partialuser, Trump, A_None, 0.202500241769
partialuser, Trump, Clinton, 0.017124662612
partialuser, Trump, Trump, 0.780375095619
fulluser, A_None, A_None, 0.972447930809
fulluser, A_None, Clinton, 3.12137067968e-07
fulluser, A_None, Trump, 0.0275517570543
fulluser, Clinton, A_None, 0.206639804846
fulluser, Clinton, Clinton, 0.787157922117
fulluser, Clinton, Trump, 0.00620227303623
fulluser, Trump, A_None, 0.213018341822
fulluser, Trump, Clinton, 0.00818194604753
fulluser, Trump, Trump, 0.778799712131
prevtweet, A_None, A_None, 0.993657084907
prevtweet, A_None, Clinton, 4.27144198801e-06
prevtweet, A_None, Trump, 0.00633864365144
prevtweet, Clinton, A_None, 0.12880387838
prevtweet, Clinton, Clinton, 0.863437041971
prevtweet, Clinton, Trump, 0.00775907964865
prevtweet, Trump, A_None, 0.0975082363504
prevtweet, Trump, Clinton, 0.0230238846011
prevtweet, Trump, Trump, 0.879467879049
poltweet, A_None, A_None, 0.875107729257
poltweet, A_None, Clinton, 0.0865019342507
poltweet, A_None, Trump, 0.0383903364926
poltweet, Clinton, A_None, 0.029302486563
poltweet, Clinton, Clinton, 0.964994984793
poltweet, Clinton, Trump, 0.00570252864442
poltweet, Trump, A_None, 0.0359493132886
poltweet, Trump, Clinton, 0.0972233478797
poltweet, Trump, Trump, 0.866827338832
polparty, A_None, A_None, 0.289502801538
polparty, A_None, Clinton, 0.340775189303
polparty, A_None, Trump, 0.369722009159
polparty, Clinton, A_None, 0.0214776101446
polparty, Clinton, Clinton, 0.934004505042
polparty, Clinton, Trump, 0.0445178848137
polparty, Trump, A_None, 0.0169648143965
polparty, Trump, Clinton, 0.11431024733
polparty, Trump, Trump, 0.868724938274